system:index,Blue,Blue_contrast,Blue_corr,Blue_diss,DEM,Green,Green_contrast,Green_corr,Green_diss,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000007,166,10.60381016288649,-0.058541441872639086,2.5420627716687583,1.9339803,173,7.478567204604841,0.08074353313112706,2.0711964952932296,0.16909991,-0.19158313,255,0.0,1.0,0.0,0.16903789326426855,-0.023237001,181,10.177600650623141,0.02024096900002951,2.5699196805159286,0,Unvegetated,0.22367357841571933,"{""type"":""Point"",""coordinates"":[-121.7552682223249,36.80480919829796]}"
0000000000000000008a,165,3.7822124599152214,0.16025193546253283,1.4171157483412022,1.9332714,171,4.048361066937053,-0.2616075363048958,1.6617619041197131,0.17439295,-0.19592185,255,0.0,1.0,0.0,0.17432871813692025,-0.022289459,179,5.157228434666555,-0.18624534794614112,1.793339181107062,0,Unvegetated,0.8212436015111997,"{""type"":""Point"",""coordinates"":[-121.7552682223249,36.80480919829796]}"
000000000000000000c3,162,6.4816113584177835,0.22911397439651265,2.038510382419512,1.9336386,169,5.786119453626498,0.11880433325387717,2.009994899545505,0.17847593,-0.20260836,255,0.0,1.0,0.0,0.1784099666979898,-0.02503949,178,5.484756625465894,0.13299364053396434,1.8692644400419278,0,Unvegetated,0.3239872101993766,"{""type"":""Point"",""coordinates"":[-121.7552682223249,36.80480919829796]}"
00000000000000000018,173,2.650479526268946,0.1959072428664289,1.244991835743223,1.9424238,180,2.6570592714261934,0.24044029604785247,1.3366809154642212,0.16038087,-0.1722158,255,0.0,1.0,0.0,0.16032250719372768,-0.012170437,185,5.756405827561089,0.22054486940336276,2.0329482587077194,0,Unvegetated,0.04173231746798711,"{""type"":""Point"",""coordinates"":[-121.75526376322382,36.80481365739901]}"
00000000000000000055,172,21.49095267438824,0.16368216025487559,3.9664620374282284,1.9229332,180,11.96864134688421,0.0381624039468006,2.8074902996057505,0.1516426,-0.17358117,255,0.0,1.0,0.0,0.15158782974663265,-0.022533635,188,12.889393028355652,-0.1649242625791527,2.945943437956063,0,Unvegetated,0.15026019743641728,"{""type"":""Point"",""coordinates"":[-121.75526376322382,36.80481365739901]}"
0000000000000000009d,176,9.031670207777687,0.03528108396739908,2.483961356654038,1.9403535,185,8.81817726560189,-0.14281565235636026,2.5231270973466984,0.1387222,-0.15819362,255,0.0,1.0,0.0,0.13867265884507815,-0.019910837,193,6.655840675365069,-0.06273990992594985,2.1747201683836725,0,Unvegetated,0.43137638384955523,"{""type"":""Point"",""coordinates"":[-121.75526376322382,36.80481365739901]}"
000000000000000000f5,165,10.778270977079153,0.18991195337087402,2.7483457503993405,1.936611,174,6.293844244305664,0.14664330003467624,1.8603860481001266,0.1696098,-0.18870442,255,0.0,1.0,0.0,0.1695475757292827,-0.019725986,181,4.6468995355243585,0.10967633464052137,1.7428619840912052,0,Unvegetated,0.16385195075135262,"{""type"":""Point"",""coordinates"":[-121.75526376322382,36.80481365739901]}"
00000000000000000170,175,2.9048214012941105,-0.31292926579764974,1.5127115513189862,1.9436377,184,2.6294644869116577,-0.24613143519380493,1.4002937574023966,0.14129125,-0.16187666,255,0.0,1.0,0.0,0.14124067151250433,-0.021067392,192,1.7794636670270156,0.1013952312370076,1.0333942128908973,0,Unvegetated,0.29225255804539774,"{""type"":""Point"",""coordinates"":[-121.75526376322382,36.80481365739901]}"
000000000000000001a2,168,32.633581188513865,0.15859727269737653,4.617023730703281,1.9280077,179,22.28176383820873,0.05426868423637525,3.733931859554078,0.15258342,-0.17617892,255,0.0,1.0,0.0,0.15252826688411633,-0.024253074,187,13.161437503737297,0.009470520551060908,2.745529076100987,0,Unvegetated,0.7364050511024524,"{""type"":""Point"",""coordinates"":[-121.75526376322382,36.80481365739901]}"
0000000000000000021f,177,23.307731118027267,-0.044832682395667504,3.7007805583765476,1.9399313,186,22.371474885403675,-0.0979882901711946,3.811104136194797,0.13824932,-0.15717396,255,0.0,1.0,0.0,0.13819996304079585,-0.019347707,193,20.38903205485022,-0.08352754952289111,3.4124656326913145,0,Unvegetated,0.5241799706889305,"{""type"":""Point"",""coordinates"":[-121.75526376322382,36.80481365739901]}"
00000000000000000249,153,6.545907351448889,0.2776365308422559,2.1880265473125444,1.9341497,165,3.6581558372029046,0.09562233124739508,1.5634417247324444,0.18874289,-0.21417433,255,0.0,1.0,0.0,0.18867253496967884,-0.026502771,174,2.0168739339230273,0.09069943551648331,1.1089079708128309,0,Unvegetated,0.31773038417227994,"{""type"":""Point"",""coordinates"":[-121.75526376322382,36.80481365739901]}"
0000000000000000002d,162,5.9012764027084605,0.035864507188247255,1.9967691877231926,1.938495,169,2.494316429854991,-0.06903277210260969,1.228032087473523,0.18738289,-0.20250848,255,0.0,1.0,0.0,0.18731311839599118,-0.015721204,175,2.7779850716910586,0.053603616882186206,1.3007384423525183,0,Unvegetated,0.181827693803291,"{""type"":""Point"",""coordinates"":[-121.75527714052699,36.80480919829796]}"
