system:index,Green,Green_contrast,Green_corr,Green_diss,NDRE,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red-Edge,Red-Edge_contrast,Red-Edge_corr,Red-Edge_diss,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
0000000000000000002a,9279,346436.8125,0.20983299578746034,503.56249999999994,0.035254262,0.051695704,-0.22503863,14668,480328.2916666666,0.1605985706765646,575.1666666666666,0.051695409,-0.17538325,13226,13669,260949.85416666663,0.051414616,434.60416666666663,634842.9583333333,0.25550690304336726,678.5833333333333,0,unvegetated,0.5436814904444279,"{""type"":""Point"",""coordinates"":[-121.75917885394877,36.812122124025606]}"
0000000000000000002b,9615,339183,0.40811397477503286,478.41666666666663,-0.002581645,0.05936386,-0.23291714,15454,856108.1041666667,0.3204049535689455,802.3125,0.059363535,-0.17598663,13722,15534,869390.6041666667,0.048973129,762.6458333333333,831230.9791666667,0.37105216910014355,775.8541666666666,0,unvegetated,0.031666073,"{""type"":""Point"",""coordinates"":[-121.75467516188479,36.811974973690845]}"
0000000000000000002c,7707,184423.0625,-0.045734487,337.43749999999994,0.02534315,0.08942962,-0.28519756,13857,439141.2916666666,-0.227785418,544,0.089429053,-0.2008917,11582,13172,72620.47916666666,0.053104245,222.4375,86986.3125,0.13935488449181632,229.6875,0,unvegetated,0.45407757972835394,"{""type"":""Point"",""coordinates"":[-121.757693973298,36.81182782335608]}"
0000000000000000002d,9406,1110137.688,0.1956208297462177,916.4374999999999,0.038708847016096115,0.060704555,-0.26400626,16154,2407974.2916666665,0.076780745,1312.0416666666665,0.060704235,-0.20661296,14305,14950,485719.5625,0.2021384885320174,613.1875,2699948.666666667,0.1012641642947247,1374.3333333333333,0,unvegetated,0.16016684692180183,"{""type"":""Point"",""coordinates"":[-121.757693973298,36.81182782335608]}"
0000000000000000002e,7830,186139.0208333333,0.087121672,347.35416666666663,0.030952125787734985,0.09340805,-0.2967803,14439,1119254.75,-0.085210401,920.7916666666666,0.093407484,-0.20917079,11972,13572,243166.2083333333,0.17739470567397808,420.875,146332.5833333333,0.15077079243141417,325.875,0,unvegetated,0.9952723225737078,"{""type"":""Point"",""coordinates"":[-121.757693973298,36.81182782335608]}"
0000000000000000002f,7800,174502.6458333333,0.332324146,333.1458333333333,0.016121078,0.07686123,-0.26394263,13394,242197.6666666667,0.18943312099145354,395.58333333333326,0.076860737,-0.1909553,11482,12969,180715.97916666666,0.274436144,339.52083333333326,117140.49999999999,0.33111351742456996,269.04166666666663,0,unvegetated,0.3666904011180442,"{""type"":""Point"",""coordinates"":[-121.75770735060112,36.81183228245714]}"
00000000000000000030,7026,90609.22916666664,-0.129108016,227.8125,0.001930122,0.095104836,-0.2882901,12718,286239.2708333333,0.085384747,428.77083333333337,0.09510418,-0.1986313,10509,12669,145161.66666666666,0.099996764,313.4583333333333,273656.125,-0.239914942,459.0833333333333,0,unvegetated,0.7944689828353555,"{""type"":""Point"",""coordinates"":[-121.75768951419693,36.81182336425503]}"
00000000000000000031,8803,78591.14583333333,0.14801929928187155,227.31249999999997,0.023220021277666092,0.039214354,-0.26927865,15291,206206.5,0.15312558614551178,374.58333333333337,0.03921414,-0.23251961,14137,14597,213062.29166666663,-0.063268704,371.83333333333326,731918.9791666667,-0.166389604,733.1041666666666,0,unvegetated,0.2740163066440823,"{""type"":""Point"",""coordinates"":[-121.75768059599483,36.81182782335608]}"
00000000000000000032,7089,448994.2916666666,-0.215969353,522.7916666666666,-0.020159813,0.12375988,-0.30686873,13366,439029.5625,0.029915281546219884,488.9375,0.12375904651725901,-0.19033751,10422,13916,364230.4375,0.2047530336007045,522.6875,863293.9166666667,-0.197640188,768.7916666666666,0,unvegetated,0.31789885451035327,"{""type"":""Point"",""coordinates"":[-121.75771180970217,36.81183228245714]}"
00000000000000000033,6981,139639,0.07498543,285.7083333333333,0.011906664818525314,0.092626944,-0.28924862,12663,226828.14583333334,0.244129458,385.2708333333333,0.092626307,-0.20203464,10516,12365,254999.91666666666,-0.08808204,426.25,190646.20833333334,0.175996508,357.875,0,unvegetated,0.958543782,"{""type"":""Point"",""coordinates"":[-121.7576895141969,36.81182782335608]}"
