system:index,Blue,Blue_contrast,Blue_corr,Blue_diss,DEM,Green,Green_contrast,Green_corr,Green_diss,RGVI,Red,Red_contrast,Red_corr,Red_diss,label,random,.geo
00000000000000001285,82,557.9169126662603,0.04198772354793495,19.96728030702647,2.0259717,85,611.7380362613899,0.04840100422388266,21.009229682236416,-0.06274621,97,564.0238785731583,0.02224522760448507,19.721633947239706,1,0.6446660888197706,"{""type"":""Point"",""coordinates"":[-121.75363173223826,36.8066731025383]}"
00000000000000001373,76,534.3368031129041,-0.14388854613840335,18.423018668345264,2.1150367,85,595.3313972496939,-0.10533158217630452,19.240920102248303,-0.067941785,97,578.518248192774,-0.0868106269065474,18.874377107825392,1,0.30837394945006946,"{""type"":""Point"",""coordinates"":[-121.7534756637014,36.80657500231512]}"
000000000000000009db,71,446.44497464393294,-0.06174513061512933,16.687962226961872,2.231498,86,536.6009258277774,-0.0634020079866581,18.261259063889717,-0.06003205,97,496.7181913094577,-0.056638719418526766,17.36655247013532,1,0.5927349817642192,"{""type"":""Point"",""coordinates"":[-121.75487136233114,36.80575898682234]}"
00000000000000000c97,78,369.98452832594535,-0.02712484976130551,16.720458603923056,1.9963719,86,381.9439217935303,0.00617551521300359,16.406305549894387,-0.057356182,97,355.1102045818115,-0.03980444798770084,16.210055967807005,1,0.9191384353278566,"{""type"":""Point"",""coordinates"":[-121.75215576978958,36.80757830005215]}"
00000000000000000cd4,86,460.87748599948054,-0.2511130115308136,17.162497723951912,2.0355263,86,482.77503349956305,-0.2073629285269075,17.09188685479615,-0.060807273,97,474.4851033030491,-0.23265363108459255,17.33237843942739,1,0.8463419910916341,"{""type"":""Point"",""coordinates"":[-121.75359605942984,36.80689605759097]}"
00000000000000000cd6,78,891.3633963392481,0.027791612892502572,23.924027265325368,2.1290572,86,968.4258116895231,0.015750399942000004,24.73848636886544,-0.060006347,97,1018.1488861550545,0.02762633343720326,25.39606213762648,1,0.33496716617030164,"{""type"":""Point"",""coordinates"":[-121.75356930482351,36.80685146658043]}"
00000000000000000e89,82,602.8289112164097,-0.01237551122293306,18.458163896795607,2.009519,87,673.1629728090269,-0.027119166364661863,19.64762407365301,-0.0518905,97,632.1320329999155,-0.04103741828976273,19.24220767144179,1,0.4560522056566143,"{""type"":""Point"",""coordinates"":[-121.75421141537522,36.80802421015749]}"
000000000000000011c0,82,581.8461134344228,0.08926123014948904,20.41769310211257,1.9271233,87,466.7349140355982,0.007318824630909621,17.487342653236695,-0.054958366,97,468.8594375390621,-0.014316998115106321,17.660591340168068,1,0.044232491878164026,"{""type"":""Point"",""coordinates"":[-121.75235197023594,36.80608450119925]}"
000000000000000009de,64,275.1888325973655,-0.17438772024445373,14.11689366932427,2.255813,88,316.1544803511128,-0.18331310113709445,15.14811283818128,-0.046258084,97,320.3684591933836,-0.1887046769465142,15.088505484640624,1,0.7120507411509669,"{""type"":""Point"",""coordinates"":[-121.75488919873533,36.80574560951918]}"
00000000000000000bb1,86,2151.0175654613163,-0.15014522168223055,38.08629868802487,2.017264,88,2134.0731472121965,-0.16309754076434596,38.051825021611606,-0.048217,97,2210.6266814895585,-0.1579640529230428,38.59482450386828,1,0.47875499786344866,"{""type"":""Point"",""coordinates"":[-121.75431397469944,36.80912560811769]}"
