system:index,DEM,NDVI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,Red,Red_contrast,Red_corr,Red_diss,label,random,.geo
0000000000000000033f,-31.572622,-0.6947844,26,0.5167756977140308,-0.028119510463446618,0.40276639357474836,-0.6941315558478729,144,1.5969868308343351,0.06576838383298801,0.9815309786423361,0,0.08485947607463862,"{""type"":""Point"",""coordinates"":[-121.75493378974588,36.81121246741071]}"
00000000000000000340,-31.506763,-0.7897399,25,8.015836505333848,0.04332636197183122,2.1913834902858844,-0.7892032620812914,211,21.564974705952483,0.12671888997819078,3.7855129109771664,0,0.550294743282481,"{""type"":""Point"",""coordinates"":[-121.75374320976461,36.81064616157691]}"
00000000000000000341,-31.561426,-0.6481865,28,4.250765136441281,0.027550952889927784,1.3608434403855116,-0.6475249214462497,129,11.616561758455433,0.24549934105950488,2.892759235042286,0,0.8483116644618318,"{""type"":""Point"",""coordinates"":[-121.7568066121883,36.81169850942553]}"
00000000000000000342,-31.53737,-0.6581098,26,0.9284327193121077,0.06914692572552826,0.7695000676986519,-0.6574134619779319,125,11.479427854352807,0.254272722420253,2.9550171541572396,0,0.3271863537646028,"{""type"":""Point"",""coordinates"":[-121.7568066121883,36.81169850942553]}"
00000000000000000343,-31.560669,-0.66334426,25,5.069293842659319,0.21315658896302828,1.8756105262267158,-0.6626164817235772,121,6.108054242704501,0.31956541296135194,1.9784890113920615,0,0.24621106547454608,"{""type"":""Point"",""coordinates"":[-121.7568066121883,36.81169850942553]}"
00000000000000000344,-31.54597,-0.6853581,25,0.6045666889553036,0.1663152640770451,0.6045666889553036,-0.6846739330784777,135,0.6495375170715041,0.1063021567944715,0.5706788564761214,0,0.5786484516828055,"{""type"":""Point"",""coordinates"":[-121.75680215308725,36.81170296852658]}"
00000000000000000345,-31.54182,-0.73529166,25,5.920430448481843,0.16153768054078071,2.0129458478222433,-0.7346655989131603,163,5.051599135325124,0.22592185531054698,1.942675946828188,0,0.9108437888929086,"{""type"":""Point"",""coordinates"":[-121.7568110712894,36.81170296852658]}"
00000000000000000346,-31.565779,-0.67025274,25,0.646826554053621,0.10167261415541358,0.5812177764622211,-0.6695334945655891,124,1.7913162357356365,0.1938512565268154,1.0188288093429825,0,0.9024246630598551,"{""type"":""Point"",""coordinates"":[-121.75680215308725,36.81169850942553]}"
00000000000000000347,-31.559208,-0.7110465,20,1.620598998986373,0.24771155890490615,1.0212514184876365,-0.7102363074501584,120,1.6270728483117205,0.02767778589115021,0.9020052430575464,0,0.683959178894227,"{""type"":""Point"",""coordinates"":[-121.75680215308725,36.81169850942553]}"
00000000000000000348,-31.565779,-0.67025274,25,0.646826554053621,0.10167261415541358,0.5812177764622211,-0.6695334945655891,124,1.7913162357356365,0.1938512565268154,1.0188288093429825,0,0.9337226590267373,"{""type"":""Point"",""coordinates"":[-121.75680215308725,36.81169850942553]}"
