system:index,Blue,Blue_contrast,Blue_corr,Blue_diss,DEM,Green,Green_contrast,Green_corr,Green_diss,RGVI,Red,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000567,104,200.58372318621335,-0.2643053066040849,11.918090531449977,-31.77391,125,223.3849595893767,-0.26174135352493744,12.418514916140488,-0.021465559,130,231.11097258653382,-0.28849298757213965,12.563003950149533,2,WetSediment,0.6294888067575889,"{""type"":""Point"",""coordinates"":[-121.75517904030382,36.804831493803235]}"
000000000000000005fd,66,565.9677176901899,-0.025124737628091972,19.227732610123105,-31.773817,85,557.423581572607,-0.031861797542654995,19.164737575375007,-0.03703728,92,555.7300404959219,-0.04372619452304192,19.146926202396717,2,WetSediment,0.9107436389779564,"{""type"":""Point"",""coordinates"":[-121.75517904030382,36.804831493803235]}"
0000000000000000069f,119,793.3203404613942,0.06712790806746535,23.553691539288756,-31.783709,140,843.270306565131,0.05937907988512473,24.1246336322094,-0.019334815,145,793.672844950119,0.0659339213036258,23.67073877914299,2,WetSediment,0.05240942335563881,"{""type"":""Point"",""coordinates"":[-121.75517904030382,36.804831493803235]}"
00000000000000000554,75,169.77267712376067,-0.09313778131324234,10.216303090159666,-31.77368,90,202.60565596835295,-0.09322456914731402,10.518605954929633,-0.027030172,95,204.6307703292286,-0.09238664402053741,10.82886067440344,2,WetSediment,0.6904749123212074,"{""type"":""Point"",""coordinates"":[-121.75517904030384,36.80484041200534]}"
00000000000000000566,98,196.8704680856054,0.2555230849201613,11.279758616309932,-31.801111,122,227.6009356572928,0.2565224609073446,12.112398689218328,-0.012469462,125,232.5259872778288,0.26801630476197785,12.290093075626153,2,WetSediment,0.38963418332559796,"{""type"":""Point"",""coordinates"":[-121.75517904030384,36.80484041200534]}"
0000000000000000059d,91,59.213426899455236,-0.11094938671245971,5.778526586639965,-31.791195,113,59.31498359490025,-0.20774309206520647,5.715455327277505,-0.023680326,119,61.00717416983391,-0.24478490321332103,5.882873741062269,2,WetSediment,0.07261640477868048,"{""type"":""Point"",""coordinates"":[-121.75517904030384,36.80484041200534]}"
000000000000000005eb,85,562.2042108819205,-0.07330464377273664,18.019409386643957,-31.767475,107,534.1892519857804,-0.06849929588018289,17.396592364942776,-0.008891023,109,544.1166670682877,-0.08288608439025948,18.105831054899696,2,WetSediment,0.17597171767965003,"{""type"":""Point"",""coordinates"":[-121.75517904030384,36.80484041200534]}"
0000000000000000058b,80,303.3001368693631,-0.05293308473910097,14.635295503663178,-31.767803,97,312.6860011639026,-0.05508224832678876,14.740186723273549,-0.022751668,102,336.2111584225378,-0.04575627832670692,15.353345286739117,2,WetSediment,1.5771238692341427E-5,"{""type"":""Point"",""coordinates"":[-121.75518349940486,36.80483595290427]}"
000000000000000005a0,81,244.5264259680949,-0.09416977080824689,12.99645213495885,-31.771229,100,253.57385080011352,-0.09426864768725868,13.30739076001326,-0.024873305,105,242.67119815198959,-0.10413872431783278,13.048014122507166,2,WetSediment,0.5875983201699996,"{""type"":""Point"",""coordinates"":[-121.75518349940486,36.80483595290427]}"
000000000000000005ff,90,380.66349110870976,-0.00811586882543728,16.529727685806815,-31.772144,108,403.90752247830926,-0.013368633313623136,17.062037342954312,-0.034091286,115,377.3758048451473,-0.0290725202467545,16.186779346504675,2,WetSediment,0.3081286728570086,"{""type"":""Point"",""coordinates"":[-121.75518349940486,36.80483595290427]}"
000000000000000006c2,121,344.23359053756565,-0.25323514935507374,15.27302308320634,-31.77741,145,413.4156060732621,-0.24672591966413415,16.95081798470743,-0.0068788985,147,356.3890121191697,-0.22831167374645328,15.662444203230628,2,WetSediment,0.19264499410999059,"{""type"":""Point"",""coordinates"":[-121.75518795850591,36.804818116500066]}"
000000000000000004ef,87,221.37483341476346,0.10865660362335516,12.272554287606452,-31.789593,108,225.19711711148963,0.1320595636902217,12.409670702722112,-0.020444928,112,229.3036559305287,0.10562455239044813,12.492645338623323,2,WetSediment,0.639966307308864,"{""type"":""Point"",""coordinates"":[-121.75517012210172,36.80484041200534]}"
000000000000000005ba,79,315.7465042457718,-0.14544411642034014,13.960880634156101,-31.773748,99,330.17839923944575,-0.12012423121913894,14.001892080759394,-0.029415516,105,312.4567778591381,-0.1286195291242729,13.658514606328792,2,WetSediment,0.6179155885796715,"{""type"":""Point"",""coordinates"":[-121.75518349940486,36.80482703470217]}"
000000000000000006d9,80,304.0120798345764,-0.03772022432002957,14.955423077927563,-31.77715,99,330.63634632478255,-0.031689279089552644,15.664936182942942,-0.030147603,105,308.5364365677616,-0.03622267975002895,15.207698416613079,2,WetSediment,0.6614554823773516,"{""type"":""Point"",""coordinates"":[-121.75518349940486,36.80482703470217]}"
0000000000000000052a,63,551.8221576462079,-0.3155465663513267,19.0762948120017,-31.775234,79,527.1522284881767,-0.2601194081052438,18.151226738585745,-0.036637694,85,540.7998972143444,-0.266330203145384,18.256177934099107,2,WetSediment,0.20231668580421258,"{""type"":""Point"",""coordinates"":[-121.75520133580909,36.80481365739901]}"
00000000000000000576,96,127.41993342650517,-0.047235788364008977,9.267469717617546,-31.772657,114,128.1745593787973,-0.052759947270008926,9.371465652247434,-0.013005798,117,122.5902104085431,-0.02936575787411571,8.956897267617798,2,WetSediment,0.06471767886378388,"{""type"":""Point"",""coordinates"":[-121.75520133580909,36.80481365739901]}"
0000000000000000065f,79,432.9905216314163,0.07923173637608094,16.256975708492693,-31.77425,99,462.24712788860154,0.07189165353570287,16.736549393346987,-0.02714016,104,498.6575297931189,0.0728493747033567,17.536939341684466,2,WetSediment,0.5495467877940461,"{""type"":""Point"",""coordinates"":[-121.75520133580909,36.80481365739901]}"
000000000000000006d5,100,648.9329741619861,0.08622931983778717,20.692481226703954,-31.783735,120,588.2753173214314,0.09246158478909199,19.651439731291106,-0.026550647,127,625.4958397250546,0.09351829436108294,20.059778397971208,2,WetSediment,0.9245358983609412,"{""type"":""Point"",""coordinates"":[-121.75520133580909,36.80481365739901]}"
