GrndTruth,GrndTruth2,RASTERVALU,Classified,Latitude,Longitude
0,0,2,2,4074092.241810000035912,611226.268066999968141
1,1,1,1,4074103.876769999973476,611290.240956000052392
0,0,0,0,4074088.576799999922514,611306.355375000042841
1,1,1,1,4074100.696549999993294,611326.813513000030071
0,0,0,0,4074101.026200000196695,611429.608385000028647
1,1,0,0,4074107.212129999883473,611446.828126000007614
1,1,1,1,4074092.590859999880195,611442.503799000056460
0,0,0,0,4074073.431960000190884,611112.206676000030711
0,0,0,0,4074077.775679999962449,611154.519147000042722
0,0,2,2,4074086.482499999925494,611194.233144000056200
0,0,0,0,4074079.617879999801517,611183.722897000028752
1,1,2,2,4074074.789369999896735,611204.084077000035904
0,0,0,0,4074073.800400000065565,611211.491668000002392
1,1,1,1,4074072.462379999924451,611277.558849000022747
1,1,1,1,4074082.487840000074357,611280.855421000043862
0,0,0,0,4074079.947540000081062,611306.626857999945059
1,1,1,1,4074048.959759999997914,611074.664538000011817
0,0,0,0,4074053.613739999942482,611087.792651999974623
0,0,0,0,4074061.641869999933988,611116.453436000039801
0,0,0,0,4074050.375349999871105,611123.686502999975346
0,0,2,2,4074062.999280000105500,611167.938134000054561
0,0,2,2,4074054.079140000045300,611189.094369999947958
0,0,2,2,4074051.441879999823868,611183.548371999990195
1,1,1,1,4074068.331970000173897,611211.375317999976687
1,1,0,0,4074066.547939999960363,611247.928484000032768
0,0,0,0,4074058.500430000014603,611265.671797999995761
0,0,0,0,4074053.225910000037402,611285.334880999987945
1,1,1,1,4074033.465869999956340,611052.286632000003010
1,1,1,1,4074046.516420000232756,611068.517401000019163
1,1,1,1,4074043.006539999973029,611083.080492999986745
0,0,0,0,4074040.155970000196248,611095.626857999945059
0,0,0,0,4074031.701229999773204,611117.112750999978743
0,0,0,0,4074032.457510000094771,611120.331756000057794
0,0,0,0,4074030.654089999850839,611150.291777999955229
0,0,0,0,4074032.554469999857247,611167.007337999995798
0,0,0,0,4074047.660519999917597,611216.126260000048205
1,1,2,2,4074041.261289999820292,611245.465750999981537
1,1,1,1,4074034.571190000046045,611270.829964000033215
0,0,0,0,4074041.222510000225157,611292.936388000031002
1,1,1,1,4074029.277280000038445,611283.880511000053957
0,0,0,0,4074010.564389999955893,611051.161918999976479
1,1,1,1,4074025.321399999782443,611071.891539999982342
1,1,0,0,4074023.983380000106990,611110.810480999993160
0,0,0,0,4074023.168930000159889,611114.863325000042096
1,1,1,1,4074020.434719999786466,611103.305932000046596
1,1,2,2,4074022.567789999768138,611153.452609000029042
0,0,0,0,4074026.290980000048876,611185.080308999982662
1,1,2,2,4074016.401260000187904,611220.683286000043154
0,0,0,0,4074025.806189999915659,611264.644043999956921
0,0,0,0,4074024.351819999981672,611258.981695999973454
0,0,0,0,4073991.347320000175387,611032.817465999978594
1,1,0,0,4074007.248430000152439,611056.475218000006862
1,1,1,1,4074007.190249999985099,611085.291134999948554
0,0,0,0,4073994.973540000151843,611090.139035000000149
0,0,0,0,4074003.971249999944121,611129.445808000047691
0,0,0,0,4073999.453000000212342,611127.157600000035018
0,0,0,0,4073993.732479999773204,611146.723724000039510
0,0,2,2,4073993.344649999868125,611158.300508999964222
1,1,2,2,4074007.481130000203848,611211.200793999945745
0,0,0,0,4073999.472399999853224,611232.046763999969698
0,0,0,0,4073991.269749999977648,611249.247113000019453
1,1,1,1,4073974.689929999876767,611025.487440999946557
0,0,0,0,4073977.210839999839664,611054.128833999973722
0,0,0,0,4073975.097149999812245,611042.707182000041939
0,0,0,0,4073973.041639999952167,611073.947048999951221
0,0,0,0,4073982.213870000094175,611109.239761000033468
0,0,0,0,4073986.926030000206083,611148.042353000026196
0,0,2,2,4073969.551159999798983,611168.325965999974869
0,0,0,0,4073976.784219999797642,611217.910288000013679
0,0,0,0,4073988.496749999932945,611237.495803999947384
0,0,2,2,4073969.434810000006109,611233.811400000005960
0,0,0,0,4073965.265610000118613,611035.861947000026703
0,0,0,0,4073957.237490000203252,611050.774087000056170
1,1,2,2,4073957.450800000224262,611075.285069999983534
0,0,0,0,4073954.445100000128150,611062.835661999997683
0,0,0,0,4073968.096789999864995,611113.893745000008494
0,0,3,3,4073949.965640000067651,611122.193349999957718
0,0,0,0,4073966.177019999828190,611143.194452999974601
0,0,0,0,4073957.993759999983013,611172.087936999974772
0,0,0,0,4073950.062599999830127,611193.127822999958880
0,0,0,0,4073964.063329999800771,611221.148685000021942
0,0,0,0,4073955.259550000075251,611246.144456999958493
0,0,0,0,4073933.347039999905974,611026.806070000049658
0,0,0,0,4073930.942480000201613,611057.774454999947920
0,0,0,0,4073947.677430000156164,611088.607099000015296
0,0,2,2,4073931.407879999838769,611088.413183000055142
0,0,0,0,4073940.657670000102371,611110.810480999993160
0,0,2,2,4073934.510540000163019,611132.529072999954224
1,1,1,1,4073935.674029999878258,611151.261357999988832
1,1,2,2,4073947.464120000135154,611175.869299000012688
0,0,2,2,4073945.408609999809414,611187.620607999968342
0,0,0,0,4073943.547019999939948,611217.328540000016801
1,1,1,1,4073930.961870000232011,611213.314478000043891
0,0,0,0,4073942.073259999975562,611225.996584999957122
0,0,0,0,4073925.357700000051409,611047.283598999958485
0,0,0,0,4073914.013609999790788,611077.864152000052854
0,0,0,0,4073916.263040000107139,611114.553059999947436
0,0,0,0,4073929.410540000069886,611151.435883000027388
