GrndTruth,RASTERVALU,Classified,Latitude,Longitude
0,0,0,4074202.274139999877661,611180.114009000011720
3,3,3,4074213.866160000208765,611202.431976999971084
0,0,0,4074214.099330000113696,611206.445881000021473
0,0,0,4074204.422660000156611,611226.465430999989621
0,0,0,4074213.999400000087917,611257.427447999943979
0,0,0,4074205.538559999782592,611287.490084000048228
0,0,0,4074209.219359999988228,611338.788100000005215
0,0,0,4074211.084739999845624,611389.103459000005387
0,0,0,4074202.757139999885112,611406.624729000031948
0,1,1,4074183.403799999970943,611140.124873999971896
2,0,0,4074190.032560000196099,611166.490055999951437
0,0,0,4074196.861200000159442,611191.706028999993578
0,0,0,4074183.087350000161678,611211.608993000001647
0,0,0,4074189.732770000118762,611245.852084000012837
2,0,0,4074185.252520000096411,611239.623038999969140
0,0,0,4074182.554380000103265,611267.437222999986261
2,0,0,4074186.235179999843240,611299.565104000037536
2,0,0,4074184.552999999839813,611346.482802000013180
0,0,0,4074196.811230000108480,611395.515710999956354
0,0,0,4074185.135939999949187,611425.328518999973312
0,2,2,4074180.672340000048280,611149.684958999976516
0,0,0,4074173.693810000084341,611172.868997000041418
1,0,0,4074168.763869999907911,611216.189173000049777
0,0,0,4074179.806270000059158,611241.105351999984123
0,0,0,4074172.144880000036210,611269.252639999962412
0,0,0,4074164.566759999841452,611275.814788999967277
0,0,0,4074173.227469999808818,611308.209153000032529
0,0,0,4074178.090789999812841,611360.872895000036806
2,2,2,4074173.893680000212044,611378.693959000054747
0,0,0,4074164.266970000229776,611379.676616000011563
0,0,0,4074171.245500000193715,611418.200092999963090
1,1,1,4074162.251689999829978,611146.487161000026390
0,2,2,4074150.443150000181049,611159.611458000028506
1,1,1,4074152.308540000114590,611194.620689000003040
0,0,0,4074155.356439999770373,611205.729706999962218
0,0,0,4074147.611769999843091,611230.545954999979585
0,0,0,4074158.221129999961704,611268.120085999951698
0,0,0,4074151.475779999978840,611273.216576999984682
2,0,0,4074156.205850000027567,611319.384792000055313
0,0,0,4074159.770070000085980,611362.921485000057146
0,0,0,4074154.090640000067651,611403.160447999951430
0,3,3,4074158.354369999840856,611417.817023999989033
2,0,0,4074154.323820000048727,611439.901819000020623
2,2,2,4074149.710330000147223,611447.746417999966070
0,0,0,4074135.703300000168383,611183.544981000013649
1,1,1,4074138.551339999772608,611192.472167999949306
0,0,0,4074139.600620000157505,611227.098328999942169
0,0,0,4074132.189059999771416,611239.023451999993995
0,0,0,4074136.319540000054985,611286.507426999974996
2,2,2,4074144.430629999842495,611337.738821999984793
1,2,2,4074137.152300000190735,611335.773508999962360
0,0,0,4074144.697110000066459,611372.798017999972217
0,0,0,4074135.903160000219941,611377.528094999957830
2,0,0,4074140.150239999871701,611411.388116999994963
2,0,0,4074136.802550000138581,611452.659701999975368
2,1,1,4074118.914859999902546,611134.029071000055410
2,2,2,4074114.367990000173450,611130.531478999997489
0,0,0,4074115.683749999850988,611165.623984999954700
0,0,0,4074123.395109999924898,611222.085113000008278
0,0,0,4074116.999509999994189,611247.983949000015855
0,0,0,4074118.448520000092685,611277.813412999967113
0,0,0,4074125.277149999979883,611374.130434000049718
0,0,0,4074126.443010000046343,611380.725893000024371
2,0,0,4074126.792770000174642,611416.967609000043012
2,0,0,4074124.127940000034869,611410.105666000046767
2,2,2,4074121.146660000085831,611459.338437000056729
0,2,2,4074128.924639999866486,611463.435616999980994
2,2,2,4074109.754499999806285,611136.011040000012144
0,0,0,4074103.725320000201464,611153.698862000019290
0,0,0,4074101.510180000215769,611174.201413000002503
0,0,0,4074099.811350000090897,611220.919249000027776
0,0,0,4074105.890490000136197,611240.738937000045553
0,0,0,4074102.076450000051409,611306.693529000040144
1,2,2,4074102.109759999904782,611323.448661000002176
1,1,1,4074096.663509999867529,611312.556160000036471
0,0,0,4074102.676039999816567,611414.202844999963418
0,2,2,4074101.710039999801666,611453.259288999950513
2,1,1,4074094.914719999767840,611121.254533000057563
2,2,2,4074094.431720000226051,611123.719502000021748
2,2,2,4074080.424689999781549,611141.607186999986880
0,0,0,4074089.784920000005513,611185.093913999968208
0,0,0,4074095.714170000050217,611210.626336000044830
0,0,0,4074083.822350000031292,611223.117735999985598
1,0,0,4074092.949399999808520,611296.284028999973089
1,2,2,4074095.930680000223219,611314.254990000044927
0,0,0,4074092.299850000068545,611332.525744999991730
0,0,0,4074090.634329999797046,611433.889291999978013
2,1,1,4074067.716779999900609,611081.215431999997236
0,0,0,4074065.435010000132024,611133.296241999953054
0,0,0,4074075.977760000154376,611156.630176999955438
