Classified,GrndTruth,Latitude,Longitude
1,1,4074286.333339999895543,611323.064117999980226
0,0,4074274.352450000122190,611345.824377999990247
0,0,4074273.700199999846518,611376.875139000010677
1,1,4074283.381029999814928,611405.574350000009872
0,0,4074290.161050000227988,611435.372096000006422
0,0,4074274.403940000105649,611470.319220999954268
2,0,4074288.204280000180006,611489.749548999941908
0,0,4074281.887709999922663,611497.130327000049874
0,1,4074259.110290000215173,611149.941961999982595
1,1,4074257.548309999983758,611162.987058000057004
0,0,4074256.209470000118017,611182.657690000021830
2,0,4074266.525390000082552,611205.984381000045687
0,0,4074256.947550000157207,611214.051743000047281
0,0,4074265.495519999880344,611250.766823000041768
0,0,4074265.667160000186414,611294.210425000055693
1,1,4074267.709749999921769,611342.013835999998264
0,0,4074259.899859999772161,611342.425786999985576
0,0,4074259.676719999872148,611369.528689999948256
0,0,4074264.242500000167638,611420.438894000020809
1,1,4074258.561019999906421,611447.318656999967061
0,0,4074272.206879999954253,611472.207326999981888
0,0,4074265.117899999953806,611484.274041000055149
2,0,4074262.766350000165403,611476.893262999947183
0,1,4074249.086159999947995,611158.129476999980398
0,0,4074251.111579999793321,611178.006082999985665
0,0,4074254.887790000066161,611240.262087999959476
2,0,4074246.700279999990016,611244.879364999942482
0,0,4074247.455519999843091,611261.151406000019051
1,1,4074254.355690000113100,611283.190751999965869
0,0,4074241.980010000057518,611283.156423000036739
1,1,4074244.949490000028163,611369.013752000057139
0,0,4074253.016849999781698,611396.356960000004619
0,0,4074243.610650000162423,611407.616937999962829
3,0,4074248.742870000191033,611446.700732000055723
0,0,4074245.962199999950826,611454.647941999952309
1,1,4074250.253349999897182,611473.580495000001974
0,0,4074234.376099999994040,611157.580209000036120
2,0,4074230.926010000053793,611158.524261999991722
0,0,4074227.905040000099689,611183.327108999947086
0,0,4074225.622150000184774,611212.747234000009485
0,0,4074229.484190000221133,611261.065582999959588
1,0,4074233.294730000197887,611323.304421999957412
0,0,4074231.835740000009537,611334.135284999967553
0,0,4074234.358930000104010,611376.411695000017062
1,1,4074230.222260000184178,611381.595404000021517
2,1,4074232.934270000085235,611393.130015000002459
0,0,4074230.891679999884218,611420.970995999989100
0,0,4074208.663530000019819,611174.161212999955751
2,0,4074213.229309999849647,611198.929730999981984
0,0,4074207.427670000120997,611195.582633999991231
0,0,4074214.842780000064522,611241.772572000045329
0,0,4074215.151740000117570,611270.351631000055932
1,0,4074218.138389999978244,611314.619135000044480
0,0,4074217.949570000171661,611333.929310000035912
0,0,4074210.637449999805540,611375.965414999984205
1,1,4074208.011270000133663,611372.412342999945395
0,0,4074208.560539999976754,611408.681143000023440
2,1,4074195.412450000178069,611165.716230000020005
0,0,4074202.810399999842048,611188.510818999959156
0,1,4074197.043089999817312,611225.225897999946028
1,1,4074190.606370000168681,611237.859044000040740
0,0,4074195.635590000078082,611263.468626999994740
2,0,4074185.903270000126213,611260.207352999947034
0,0,4074192.099690000060946,611293.317865999997593
1,1,4074190.795179999899119,611318.258030000026338
0,0,4074193.867639999836683,611382.848420000053011
3,0,4074189.473499999847263,611398.742838999954984
1,1,4074188.220490000210702,611418.018685000017285
0,0,4074183.122599999886006,611141.805942000006326
0,1,4074167.794610000215471,611170.093203000025824
2,1,4074184.684580000117421,611184.683113000006415
0,0,4074179.449380000121891,611216.883902000030503
0,0,4074174.763439999893308,611254.766174999997020
2,0,4074172.463380000088364,611257.237877000006847
0,0,4074178.865780000109226,611289.404336999985389
1,1,4074184.049490000121295,611312.439231000025757
0,0,4074181.989740000106394,611343.421333999955095
1,1,4074170.060339999850839,611368.344333000015467
0,0,4074168.652840000111610,611372.189203000045381
0,1,4074167.262509999796748,611156.138383000041358
2,1,4074156.980920000001788,611151.950221000006422
1,1,4074158.336920000147074,611172.839538999949582
0,1,4074154.217410000041127,611187.669753000023775
0,0,4074163.108680000063032,611232.211890000035055
2,0,4074167.554310000035912,611247.951828000019304
0,0,4074165.837849999777973,611279.208564999978989
0,0,4074150.509860000107437,611293.077562000020407
1,1,4074158.474239999894053,611318.584156999946572
0,0,4074157.667499999981374,611363.109129999997094
0,0,4074164.087059999816120,611419.632158000022173
1,1,4074155.607749999966472,611409.985651999944821
2,1,4074165.923669999931008,611446.426098000025377
0,0,4074145.738100000191480,611170.024544000043534
1,1,4074148.347120000049472,611204.697035999968648
0,0,4074135.902790000196546,611205.452278999960981
3,1,4074147.952339999843389,611237.876208000001498
2,0,4074135.834129999857396,611242.682295999955386
0,0,4074148.827730000019073,611255.195289999945089
0,0,4074148.038159999996424,611285.404986000037752
1,1,4074137.001319999806583,611328.676942000049166
0,1,4074147.780689999926835,611341.842189999995753
0,0,4074146.870970000047237,611377.390077000018209
0,0,4074132.607179999817163,611399.807045000023209
1,1,4074136.898330000229180,611414.293966999975964
0,0,4074134.529620000161231,611448.142558000050485
2,0,4074145.652280000038445,611461.942897000000812
0,0,4074118.223249999806285,611171.037255999981426
1,1,4074130.444440000224859,611209.056845000013709
0,0,4074129.311579999979585,611245.720429999986663
2,0,4074128.041399999987334,611271.518824000027962
0,0,4074121.501689999829978,611273.303943000035360
1,1,4074121.347209999803454,611327.355268000042997
0,0,4074129.345910000149161,611354.183537999982946
0,0,4074126.204789999872446,611413.470066000008956
1,1,4074126.582409999798983,611438.204254999989644
2,1,4074130.255630000028759,611460.724210000014864
0,0,4074122.514400000218302,611464.672067999956198
1,1,4074110.121559999883175,611110.120089999982156
0,0,4074104.834859999828041,611127.902616000035778
0,0,4074099.565330000128597,611165.338608999969438
2,0,4074111.717869999818504,611219.080971000017598
0,0,4074101.831060000229627,611211.803181000053883
1,1,4074107.804339999798685,611272.823333999956958
0,0,4074098.844419999979436,611293.163384999963455
1,1,4074110.173049999866635,611331.560595000046305
0,0,4074100.200420000124723,611343.627309000003152
1,1,4074106.654310000129044,611450.236639000009745
0,0,4074099.925780000165105,611441.602845999994315
2,0,4074104.268430000171065,611462.749632999999449
0,0,4074096.183900000061840,611143.625389999942854
0,0,4074090.519580000080168,611191.411636000033468
2,0,4074084.649290000088513,611187.446613000007346
0,0,4074091.635280000045896,611219.973529999959283
1,1,4074090.605409999843687,611239.455350999953225
1,1,4074085.970970000140369,611283.396727000013925
0,0,4074085.387370000127703,611281.800419999985024
0,0,4074096.115240000188351,611340.623504000017419
1,1,4074088.425499999895692,611451.232185999979265
2,1,4074076.461780000012368,611137.737931999959983
0,0,4074075.946839999873191,611140.570090999943204
0,0,4074069.990720000118017,611161.854195000021718
0,0,4074072.788550000172108,611200.131252999999560
2,0,4074064.034609999973327,611207.769500000053085
1,1,4074069.492949999868870,611259.606591999996454
0,0,4074064.961490000132471,611270.265807999996468
0,0,4074071.278070000000298,611323.836525000049733
1,1,4074045.359519999939948,611066.487676999997348
0,0,4074051.418630000203848,611099.357885999954306
2,0,4074046.028940000105649,611114.497062999987975
0,0,4074049.856649999972433,611123.577137000043876
0,0,4074051.658929999917746,611160.481027000001632
0,0,4074054.182130000088364,611199.255858000018634
1,1,4074052.156700000166893,611238.288158999988809
3,1,4074049.461860000155866,611237.447093000053428
0,0,4074053.890329999849200,611252.363130999961868
0,0,4074059.743460000026971,611283.104929000022821
2,0,4074059.434489999897778,611297.454535000026226
0,0,4074041.651970000006258,611068.993708999943919
1,1,4074039.231759999878705,611054.609774000011384
1,0,4074043.986349999904633,611112.883590999990702
0,0,4074037.789929999969900,611117.260563999996521
2,0,4074032.932349999900907,611130.940749999950640
0,0,4074035.060759999789298,611151.040496999979950
0,0,4074040.484780000057071,611189.420541999978013
0,0,4074031.490519999992102,611204.988834999967366
1,1,4074029.945710000116378,611253.616145999985747
0,0,4074040.913889999967068,611280.581732999999076
2,0,4074027.250870000105351,611284.838554000016302
0,0,4074015.510280000045896,611049.700698000029661
1,1,4074026.358310000039637,611098.190692999982275
0,0,4074024.590359999798238,611091.256195000023581
2,1,4074011.236299999989569,611108.952898000017740
0,0,4074026.306820000056177,611147.247119999956340
0,0,4074022.307459999807179,611189.437706999946386
