GrndTruth,Classified,RASTERVALU,Latitude,Longitude
0,0,0,4074649.471919999923557,610833.291570000001229
0,0,0,4074638.504129999782890,610826.238990999991074
0,0,0,4074657.639429999981076,610853.956664000055753
0,0,0,4074648.356989999767393,610850.663732000044547
0,0,0,4074637.933699999935925,610859.142384000006132
0,0,0,4074655.746640000026673,610878.433261999976821
0,0,0,4074647.579140000045300,610885.719199000042863
0,0,0,4074662.773300000000745,610894.871995000052266
0,0,0,4074655.357720000203699,610905.787935000029393
0,0,0,4074643.819490000139922,610912.244156999979168
0,0,0,4074664.199370000045747,610920.748738000052981
0,0,0,4074653.542710000183433,610921.578453000052832
0,0,0,4074638.815270000137389,610919.296735999989323
0,0,0,4074657.872789999935776,610942.606547000003047
0,0,0,4074644.597349999938160,610958.993422999978065
0,0,0,4074638.685630000196397,610959.226780000026338
0,0,0,4074638.478199999779463,610973.720867000054568
0,0,0,4074654.346499999985099,610997.704821999999695
1,0,0,4074663.136299999896437,611039.501725999987684
0,0,0,4074661.788009999785572,611037.971937999944203
0,0,0,4074653.257499999832362,611029.960000999970362
0,0,0,4074644.286199999973178,611025.526210000040010
0,0,0,4074660.336010000202805,611053.762455999967642
0,0,0,4074651.598069999832660,611053.036455000052229
0,0,0,4074642.652699999976903,611064.082037999993190
0,0,0,4074654.527999999932945,611095.792715999996290
0,0,0,4074648.668140000198036,611087.184420999954455
0,0,0,4074639.515339999925345,611093.251713000005111
0,0,0,4074650.509070000145584,611105.878941999981180
0,0,0,4074641.745199999772012,611117.080096999998204
0,0,0,4074650.483140000142157,611130.225897000054829
0,0,0,4074641.797059999778867,611128.644252000027336
0,0,0,4074657.224570000078529,611171.530156999942847
0,0,0,4074639.722769999876618,611159.032572000054643
0,0,0,4074638.763410000130534,611182.938741000019945
1,0,0,4074618.409460000228137,610555.233263000031002
0,0,0,4074634.459259999915957,610586.217940000002272
0,0,0,4074624.061900000087917,610594.722520999959670
0,0,0,4074612.238450000062585,610589.510873000021093
1,1,1,4074629.999540000222623,610603.019672999973409
0,0,0,4074628.651260000187904,610598.222882000030950
0,0,0,4074618.176099999807775,610599.493384000030346
0,0,0,4074632.903549999929965,610634.574779000016861
0,0,0,4074620.665250000078231,610627.055485000018962
0,0,0,4074612.186600000131875,610623.451409999979660
1,0,0,4074629.869899999815971,610669.215389000019059
0,0,0,4074620.224460000172257,610650.961654999991879
0,0,0,4074637.207700000144541,610694.054987999959849
0,0,0,4074624.398969999980181,610701.781711000017822
0,0,0,4074613.949740000069141,610681.324045000015758
1,0,0,4074631.192259999923408,610721.305946000036784
1,0,0,4074621.443109999876469,610719.205730000045151
0,0,0,4074611.253169999923557,610708.704646999947727
0,0,0,4074624.424899999983609,610737.640964000020176
1,1,1,4074618.461319999769330,610731.625528999953531
0,0,0,4074616.983390000183135,610745.186187000013888
0,0,0,4074633.499909999780357,610776.222720999969169
1,0,0,4074623.076609999872744,610777.026507999980822
0,0,0,4074636.974340000189841,610796.109957000007853
1,1,1,4074622.272820000071079,610808.037113000056706
1,0,0,4074619.239180000033230,610793.568955000024289
0,0,0,4074637.648479999974370,610815.686050000018440
1,0,0,4074626.836259999778122,610830.828352999989875
0,0,0,4074614.520169999916106,610824.812918000039645
0,0,0,4074632.696119999978691,610861.138886000029743
0,0,0,4074623.102539999876171,610840.629364000051282
0,0,0,4074612.860739999916404,610839.799648000043817
0,0,0,4074630.958899999968708,610868.009964999975637
0,0,0,4074620.846750000026077,610869.695323999971151
0,0,0,4074636.715050000231713,610896.531425000051968
0,0,0,4074626.836259999778122,610902.443146000034176
1,0,0,4074626.343609999865294,610908.147437999956310
0,0,0,4074616.231459999922663,610912.607156999991275
0,0,0,4074632.073830000124872,610940.402616000035778
0,0,0,4074621.961680000182241,610922.797096999944188
1,0,0,4074612.705169999971986,610930.160818999982439
0,0,0,4074627.588179999962449,610948.466411000001244
1,0,0,4074620.405960000120103,610965.760786999948323
0,0,0,4074611.719880000222474,610955.596775999991223
0,0,0,4074629.610619999933988,610971.387293000007048
1,0,0,4074618.979890000075102,610970.998363999999128
